,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr,Five_Day_Observation_Outcome,Thirty_Day_Observation_Outcome,Sixty_Day_Observation_Outcome
100,2015-02-12,85.6,88.3,85.55,87.1,15177800,0,0,-148555438.38151866,355204400,-0.11938987021002542,-30564752.78822364,32.55220848240492,2.98956370488475,-9.851897213285707,15200.500349128648,1120.480272076224,91.16851285699069,2.8550907799829583,93.88449999999996,107.611968047677,80.15703195232292,29.24331076519988,0.2528859664274345,0.0,0.0,88.14966666666655,90.51666666666668,85.78266666666671,5.370411686185207,0.27827066610335655,0.0,0.0,21.068440477395107,0.08493427704752238,-4.529649136557666,-3.984191200667792,-0.5454579358898735,88.92666666666669,95.76307692307691,89.68439780430468,94.21404694086235,38.78008493158698,12.526038174047066,35.07759355565584,0.6990438939591486,1.139504563233377,-0.44046066927422833,-0.5759664344913179,24.565906804370062,-73.97629834530196,4.565500000000043,-135.483856108887,-101.75573368381764,-33.72812242506937,88.65,95.38,92.015,99.325,105.375,105.505,4.0,84.0,-80.0,,98.98200694128732,0.0,0.0,33.11622829908734,-35.76743776935251,33.70165687321489,8.523592085235887,6.91939082315416,-91.47640791476411,-11.398823529411885,88.56997415493787,-15.387604429764915,1.2790697674418539,1.2709587604949668,-7.231867078496124,0,0,0
101,2015-02-13,88.2,89.3,87.65,89.05,14665200,0,0,-138334238.3815187,369869600,-0.056274991699864094,-22113053.8184774,32.97819530756489,17.439243924392397,-8.75090375055648,522460.02429711854,1145.5656513018112,90.63962391547675,2.789581701984663,93.52149999999996,107.35675102771876,79.68624897228116,29.587316344837934,0.3384019201732822,0.0,0.0,88.04333333333321,90.18633333333335,85.90033333333338,4.868057395979228,0.7348732306735041,0.0,0.0,21.150216795068523,0.18351870576339713,-4.24472680313896,-4.036298321162026,-0.20842848197693353,88.14333333333336,95.25999999999999,89.58679814210396,93.83152494524292,38.84862603606593,14.30801338244137,33.179317343076654,0.7318181818181821,1.1086580086580082,-0.3768398268398261,-0.5912517216228768,24.443985258223453,-51.58571698787366,-3.7114999999999583,-135.13483455181805,-109.12452148061071,-26.010313071207335,88.65,95.38,92.015,98.55000000000001,104.785,106.41,36.0,80.0,-44.0,,98.16828652481009,0.0,0.0,38.61198861767425,-33.98148766679235,40.09834280242573,19.999999999999986,10.485282296022367,-80.00000000000001,-10.4584705882354,88.57206380714709,-9.54799390553581,2.238805970149249,2.214112587721395,-5.1549685802534935,0,0,0
102,2015-02-17,88.78,88.99,86.7,86.85,15191700,0,0,-151535759.34221748,354677900,-0.09519450252312268,-23728580.41583778,33.281491649696065,-9.496633029878161,-6.490222116868752,-46988.94466466096,1145.5656513018112,89.94078683331331,2.745623531786196,93.01949999999995,107.05654310031113,78.98245689968877,30.18086121794073,0.28024217935673407,0.0,0.0,87.78133333333321,89.84833333333336,85.71433333333337,4.709429491463628,0.27471375584582164,0.0,0.0,21.264358548476405,0.07229524772497434,-4.148622675211044,-4.058763191971829,-0.08985948323921455,87.89666666666669,94.56076923076921,89.16575227408796,93.31437494929901,39.12889933450763,13.469498263807825,33.60397870653246,0.7733717323881261,1.0914931324767385,-0.31812140008861245,-0.6020754634926323,24.37659005815379,-58.797028919139066,-3.9394999999999527,-139.14289183353338,-116.45082363695074,-22.69206819658264,88.65,95.36,92.005,98.55000000000001,104.785,107.39,32.0,76.0,-44.0,,97.40338933332148,0.0,0.0,35.10709621133863,-33.43857268626936,38.15533509194871,8.898568761667661,12.474053615634544,-91.10143123833234,-9.571029411764798,88.49552916479873,-3.2958467876628523,-2.470522178551382,-2.5015517048556646,-7.498136116732357,0,0,0
103,2015-02-18,87.1,87.43,86.5,86.74,7422300,0,0,-155127194.82608855,347255600,-0.13154132858362635,-20455419.356432382,37.774772796903356,-11.026231761044444,-5.7508429739561775,-384715.04318759084,1144.1147333784584,88.53954477481247,2.5640611786075773,92.35449999999994,106.2576873683696,78.45131263163029,30.108305211699843,0.29808586868457315,0.0,0.0,87.39833333333321,89.38333333333335,85.41333333333338,4.542420717404958,0.3341729638958743,0.0,0.0,21.417472889788815,0.06673407482305324,-4.034824595777934,-4.05397547273305,0.019150876955116303,87.7016666666667,93.93461538461536,88.79255961653597,92.8273842123139,39.43526912655215,13.14127538834552,33.30916163326795,0.848729227761486,1.1236559139784938,-0.2749266862170079,-0.6086159216201726,24.2653709450043,-61.196637187466166,-2.2244999999999493,-143.75952194762743,-123.49386361410933,-20.265658333518104,87.63,95.31,91.47,98.55000000000001,104.785,108.15,28.000000000000004,72.0,-44.0,,96.6843859733222,0.0,0.0,34.93633682918609,-33.045794883052544,40.77452668704949,20.060790273556133,16.319786345074622,-79.93920972644386,-8.998058823529504,88.3927209850277,-2.626852267624611,-0.1266551525618831,-0.12673542798937731,-7.6152944935562905,0,0,0
104,2015-02-19,86.81,87.87,86.71,86.89,7604100,0,0,-160371401.72264022,354859700,-0.17358710713431919,-17370271.59122775,52.72888737440941,4.95785168527503,-2.057262148615796,3749.090152095845,1144.1147333784584,88.23560364922977,2.4236550607468206,91.53449999999995,104.67467271575956,78.39432728424035,28.71086358861328,0.32327096833249414,0.0,0.0,87.06866666666653,88.92966666666669,85.20766666666671,4.274786949763771,0.45199713415725384,0.0,0.0,21.609338555408083,0.07431749241658235,-3.887719837295819,-4.020724345645604,0.13300450834978506,87.43166666666669,93.3680769230769,88.4998581370689,92.38757797436472,39.45306821795462,13.926984297019382,32.25343112229195,0.9373991610196835,1.0509841884478859,-0.11358502742820242,-0.6106301454699024,24.099741189451738,-55.516763309957526,-0.9244999999999521,-146.4758488944596,-129.63131785034437,-16.84453104411523,87.36,95.31,91.33500000000001,98.31,104.42750000000001,108.41,24.0,68.0,-44.0,,96.00852281492286,0.0,0.0,35.39778225976943,-32.59603992547003,39.965310666086815,22.34042553191488,17.099928189046253,-77.65957446808511,-8.344117647058923,88.32497798888716,-3.5948075002773714,0.17293059718699322,0.17278124438941944,-7.455533070614551,0,0,0
105,2015-02-20,87.25,87.29,86.38,86.64,7821700,0,0,-163723558.86549732,347038000,-0.18347474118671991,-15168150.649623789,41.70273238252255,-5.29360624928089,-3.194056445059161,-9354.787980997262,1144.1147333784584,87.89992052132851,2.2722895546721396,90.66649999999996,102.6399677934169,78.69303220658301,26.412109860680516,0.3318574004845221,0.0,0.0,86.98099999999987,88.55900000000003,85.40300000000005,3.6283786114208647,0.3919518377693159,0.0,0.0,21.816216573927537,0.06167846309403432,-3.7481053417637185,-3.9662005448692272,0.21809520310550878,87.10083333333337,92.82461538461536,88.21372611598139,91.9618314577451,39.55831895412757,13.563790411919177,32.358013584201515,0.8921813637986431,1.122099250267761,-0.22991788646911782,-0.6089158907934358,23.923572644524327,-59.28278896108663,-0.6664999999999566,-143.87738808789217,-134.35609118943938,-9.521296898452789,87.38499999999999,95.31,91.3475,98.31,104.3675,108.41,20.0,64.0,-44.0,,95.37321144602748,0.0,0.0,34.9528459842422,-32.332532877442596,36.879164303392756,18.88544891640867,20.428888240626588,-81.11455108359134,-7.825500000000105,88.31240890451826,-4.38141485487253,-0.2877201058809953,-0.2881348158379815,-7.721802108850784,0,0,0
106,2015-02-23,86.51,86.68,85.25,85.47,9367900,0,0,-170209028.09626657,337670100,-0.1771022795282075,-14567049.556820393,33.6674725110871,-13.280457733323393,-4.235044848092642,-149010.17831393806,1144.1147333784584,87.57205473532044,2.1880605992049262,89.78449999999997,100.49359982211351,79.07540017788642,23.855119362726413,0.29855916595852316,0.0,0.0,86.9443333333332,88.46733333333336,85.42133333333338,3.5033910586467,0.015977237907623083,0.0,0.0,22.141906453786568,0.011066398390341998,-3.6893406476372945,-3.9108285654228405,0.221487917785546,86.72333333333337,92.28192307692304,87.7916144058304,91.4809550534677,39.953875518001276,12.99048488011515,34.33033366604058,0.8237968927624101,1.1398256915498286,-0.3160287987874185,-0.6060176559273851,23.66550787009198,-74.57443128273091,-2.784499999999966,-141.1782408192209,-137.64141979444832,-3.536821024772564,87.275,95.225,91.25,98.225,103.16499999999999,108.65,16.0,100.0,-84.0,,94.77601875926584,0.0,0.0,32.87047421384348,-32.645108132116036,37.131768034236416,3.3182503770738916,14.84804160846584,-96.6817496229261,-7.808235294117765,88.29535475542303,-5.033333333333335,-1.350415512465375,-1.359616551480869,-8.96794120779636,0,0,0
107,2015-02-24,85.53,85.53,83.88,84.69,15846400,0,0,-170497144.45990294,321823700,-0.16829506980992973,-14251784.19156034,26.05817713308528,-13.119699111470213,-5.764219379572005,-271119.9658066352,1144.1147333784584,87.11069442341224,2.1342545392844343,88.81949999999998,97.52532902427976,80.1136709757202,19.603418222979823,0.26283131747228367,0.0,0.0,86.80699999999987,88.36700000000003,85.24700000000004,3.5941801928415855,-0.17852564102565593,0.0,1.0,22.168555328503317,0.04113763331640439,-3.6634783870238437,-3.8613585297430415,0.19788014271919785,86.53083333333338,91.83499999999997,87.31444295877957,90.97792134580341,40.65209007330772,12.3422505739422,36.760496292210895,0.7219475085583871,1.1837200456447314,-0.46177253708634436,-0.602956594331858,23.494540348836942,-98.80590205291364,-3.1394999999999698,-139.29550234502648,-139.55608540518833,0.2605830601618493,86.59,94.53999999999999,90.565,97.53999999999999,102.14500000000001,108.00999999999999,12.0,100.0,-88.0,,94.01393725852458,0.0,0.0,31.522177848886827,-33.26861214993579,35.684480474725845,10.125000000000028,10.776233097827555,-89.87499999999997,-7.943441176470685,88.22304049884052,-2.6551724137931063,-0.9126009126009138,-0.9167906244418766,-9.798700607093414,0,0,0
108,2015-02-25,84.38,86.83,84.36,86.19,13645700,0,0,-163922900.33034828,335469400,-0.17549594808127397,-9291736.449908864,33.4094314860626,16.10983679840536,-4.502302880988859,97073.52963739767,1164.3788979795647,86.75817368622339,2.167829085355991,87.98199999999997,93.8549025191971,82.10909748080284,13.350236455632125,0.3474348932114614,0.0,0.0,86.67799999999986,88.39000000000003,84.96600000000005,3.9502526592676155,0.3574766355140055,0.0,0.0,20.015457707258307,0.13117546848381614,-3.4818087710215764,-3.785448577998749,0.30363980697717263,86.57333333333338,91.42346153846151,87.14145173435195,90.62326050537352,40.45144374421697,15.342043744235308,34.023446801291776,0.7568285280728377,1.1426403641881633,-0.38581183611532555,-0.5958116859659118,23.440482101401503,-75.04611330698428,-1.981999999999971,-136.4569625242505,-140.08944967919064,3.6324871549401223,86.59,94.53999999999999,90.565,97.53999999999999,101.89500000000001,107.75999999999999,8.0,96.0,-88.0,,93.00054353267213,0.0,0.0,36.88386113649244,-32.374793184776316,36.016662670388676,38.75838926174495,17.40054654627298,-61.24161073825505,-7.7355294117648015,88.19073629757182,0.5952380952380846,1.7711654268508736,1.7556630725800382,-8.201086377676003,0,0,0
109,2015-02-26,86.92,87.16,85.2,85.37,8763300,0,0,-171166036.04463398,326706100,-0.13647669464143433,-8990903.528493304,42.58925387357653,13.084112149532688,-1.0649503749073352,158315.06997305655,1153.3011546642936,86.56290636043288,2.1470461768203912,87.32799999999996,90.8249735486548,83.83102645134512,8.00882545954296,0.2200436359100957,0.0,0.0,86.6183333333332,88.33833333333337,84.8983333333334,3.9714456139000305,0.13711240310075912,0.0,0.0,9.29827775742031,0.18349753694581383,-3.3652093992702703,-3.7014007422530533,0.33619134298278297,86.52083333333337,90.85923076923073,86.8689206982978,90.23413009756807,40.05600114576152,15.431458031621755,31.988121538302515,0.9168714168714169,1.0634725634725632,-0.14660114660114631,-0.5867920714743925,23.366502251651188,-74.82352941176622,-0.06799999999995521,-131.63392177798147,-139.6616791979789,8.027757419997442,86.59,94.53999999999999,90.565,97.53999999999999,101.89500000000001,107.75999999999999,4.0,92.0,-88.0,,92.08848917940492,0.0,0.0,35.258598543376635,-32.0355105525961,37.01382021006027,27.490774907749238,25.45805472316476,-72.50922509225076,-7.451500000000067,88.16119445468863,-0.7325581395348785,-0.9513864717484499,-0.9559410637092647,-9.074448823090842,0,0,0
