Stock,Observation Period,Model Accuracy on Training Data,Model Accuracy on Test Data,True Positives,False Positives,False Negative,True Negative
KO,Sixty_Day_Observation_Outcome,0.8155919481405663,0.8038881309686221,2100,164,411,257
PYPL,Five_Day_Observation_Outcome,0.6259220231822972,0.5756302521008403,117,20,81,20
PYPL,Thirty_Day_Observation_Outcome,0.6944151738672286,0.680672268907563,121,17,59,41
PYPL,Sixty_Day_Observation_Outcome,0.7281348788198103,0.7310924369747899,122,19,45,52
MSFT,Five_Day_Observation_Outcome,0.6371720116618076,0.6456876456876457,1046,67,541,62
MSFT,Thirty_Day_Observation_Outcome,0.6462099125364431,0.668997668997669,1023,91,477,125
MSFT,Sixty_Day_Observation_Outcome,0.6463556851311953,0.62995337995338,913,141,494,168
NVDA,Five_Day_Observation_Outcome,0.5887323943661972,0.5675422138836773,508,73,388,97
NVDA,Thirty_Day_Observation_Outcome,0.6093896713615023,0.5816135084427767,407,153,293,213
NVDA,Sixty_Day_Observation_Outcome,0.6234741784037559,0.5966228893058161,395,170,260,241
HD,Five_Day_Observation_Outcome,0.6342562781712814,0.6503604531410917,1216,62,617,47
HD,Thirty_Day_Observation_Outcome,0.6355441081777206,0.6194644696189495,1052,126,613,151
HD,Sixty_Day_Observation_Outcome,0.6571796522858983,0.6416065911431514,952,199,497,294
XOM,Five_Day_Observation_Outcome,0.7884680996247014,0.7720914363698397,2200,52,616,63
XOM,Thirty_Day_Observation_Outcome,0.7842033435687479,0.7765267826680314,2141,75,580,135
XOM,Sixty_Day_Observation_Outcome,0.7718355510064824,0.7707267144319345,2138,79,593,121
CVX,Five_Day_Observation_Outcome,0.7116171954964176,0.6956670078471512,1964,80,812,75
CVX,Thirty_Day_Observation_Outcome,0.7115319003752986,0.691914022517912,1869,131,772,159
CVX,Sixty_Day_Observation_Outcome,0.7217673149095871,0.7106789491641078,1958,92,756,125
CMCSA,Five_Day_Observation_Outcome,0.6463082259663032,0.6521308225966304,1256,57,645,60
CMCSA,Thirty_Day_Observation_Outcome,0.6482903865213082,0.655599603567889,1224,81,614,99
CMCSA,Sixty_Day_Observation_Outcome,0.667368681863231,0.6724479682854311,1239,94,567,118
NKE,Five_Day_Observation_Outcome,0.736377396569122,0.7322239031770046,1420,39,492,32
NKE,Thirty_Day_Observation_Outcome,0.7148082744702321,0.7165910237014624,1295,76,486,126
